analytics_avg_percentage_viewed,analytics_avg_view_duration,analytics_avg_view_duration_seconds,analytics_card_clicks,analytics_card_shown,analytics_comments,analytics_ctr,analytics_dislikes,analytics_end_screen_clicks,analytics_end_screen_shown,analytics_engagement_rate,analytics_impressions,analytics_like_rate,analytics_likes,analytics_net_subscribers,analytics_retention_rate,analytics_share_rate,analytics_shares,analytics_subscribers_gained,analytics_subscribers_lost,analytics_unique_viewers,analytics_views,analytics_views_per_impression,analytics_views_per_viewer,analytics_watch_time_hours,artist_name,channel_title,comment_count,days_since_published,difficulty,duration_seconds,duration_text,growth_rate,is_short,like_count,published_at,published_date,published_day_of_week,published_hour,published_is_weekend,published_time,release_date,release_status,song_name,source,support_rate,tags,taiko_id,video_id,video_title,view_count,view_count_diff,view_count_updated
,,,,,,,,,,,,,,,,,,,,,,,,,ねぐせ。,ねぐせ。,1930,177,かんたん：1むずかしい：6げきむず：0,,,88733.1,,117664,,,,,,,2025/11/22,リリース,織姫とBABY feat. 汐れいら,youtube_api,0.75,"[""ポップス""]",10014870,RyviHjvLIao,ねぐせ。「織姫とBABY feat. 汐れいら」Official Music Video,15705757,,
,,,,,,,,,,,,,,,,,,,,,,,,,Mrs. GREEN APPLE,Mrs. GREEN APPLE,16884,75,かんたん：1むずかしい：6げきむず：0,,,162360.5,,147127,,,,,,,2025/12/25,リリース,GOOD DAY,youtube_api,1.21,"[""ポップス""]",10014934,TLJqi0IjMwo,Mrs. GREEN APPLE「GOOD DAY」Official Music Video,12177034,,
,,,,,,,,,,,,,,,,,,,,,,,,,=LOVE,＝LOVE（イコールラブ）公式チャンネル,12198,101,かんたん：0むずかしい：0げきむず：0,,,126455.4,,128184,,,,,,,2025/10/25,開発中,ラブソングに襲われる,youtube_api,1.0,[],10015032,_cf4UTe1qrY,＝LOVE（イコールラブ）/ 19th Single『ラブソングに襲われる』【MV full】,12771997,,
,,,,,,,,,,,,,,,,,,,,,,,,,なきそ,なきそ,20932,137,かんたん：0むずかしい：0げきむず：0,,,273580.6,,665474,,,,,,,2025/10/13,開発中,いますぐ輪廻,youtube_api,1.78,"[""ボカロ""]",10014935,3iUgKH8c7p4,いますぐ輪廻 / 初音ミク,37480546,,
,,,,,,,,,,,,,,,,,,,,,,,,,=LOVE,＝LOVE（イコールラブ）公式チャンネル,14022,542,かんたん：3むずかしい：6げきむず：0,,,37312.1,,124299,,,,,,,2024/07/19,リリース,絶対アイドル辞めないで,youtube_api,0.61,"[""ポップス""]",10011765,17NBPoc78oM,＝LOVE（イコールラブ）/ 17th Single『絶対アイドル辞めないで』【MV full】,20223177,,
,,,,,,,,,,,,,,,,,,,,,,,,,=LOVE,＝LOVE（イコールラブ）公式チャンネル,23903,317,かんたん：2むずかしい：5げきむず：0,,,87985.0,,149919,,,,,,,2025/06/14,リリース,とくべチュ、して,youtube_api,0.54,"[""ポップス""]",10013745,F3P8vcZkIh4,＝LOVE（イコールラブ）/ 18th Single『とくべチュ、して』【MV full】,27891249,,
,,,,,,,,,,,,,,,,,,,,,,,,,STARGLOW,STARGLOW Official,13484,85,かんたん：0むずかしい：0げきむず：0,,,54460.5,,108453,,,,,,,2025/12/07,開発中,Moonchaser,youtube_api,2.34,"[""ポップス""]",10015197,FTXk6epFQdM,STARGLOW / Moonchaser -Music Video-,4629141,,
,,,,,,,,,,,,,,,,,,,,,,,,,幾田 りら,幾田りら Official,1772,190,かんたん：2むずかしい：6げきむず：0,,,74592.6,,98081,,,,,,,2025/11/02,リリース,恋風,youtube_api,0.69,"[""ポップス""]",10014077,bWlknrhWjVw,幾田りら「恋風」 Official Music Video,14172590,,
,,,,,,,,,,,,,,,,,,,,,,,,,ピノキオピー,ピノキオピー PINOCCHIOP OFFICIAL CHANNEL,4437,305,かんたん：3むずかしい：6げきむず：0,,,24840.0,,137708,,,,,,,2025/11/01,リリース,超主人公,youtube_api,1.82,"[""ボカロ""]",10013515,thmR2SmkeDU,ピノキオピー - 超主人公 feat. 初音ミク / Super Superhero,7576191,,
,,,,,,,,,,,,,,,,,,,,,,,,,なにわ男子,なにわ男子,27876,127,かんたん：1むずかしい：6げきむず：0,,,29807.6,,54328,,,,,,,2025/10/25,リリース,アシンメトリー,youtube_api,1.44,"[""ポップス""]",10014571,5YI0KW4k6U8,なにわ男子 - アシンメトリー [Official Music Video YouTube ver.],3785560,,
,,,,,,,,,,,,,,,,,,,,,,,,,すとぷり,なとり / natori,6032,193,かんたん：2むずかしい：6げきむず：0,,,231050.5,,476818,,,,,,,2025/10/18,リリース,プロポーズ,youtube_api,1.07,"[""ポップス""]",10014736,VDdLF1YubI0,natori - Propose,44592739,,
,,,,,,,,,,,,,,,,,,,,,,,,,=LOVE,＝LOVE（イコールラブ）公式チャンネル,3106,292,かんたん：2むずかしい：6げきむず：0,,,28436.2,,65782,,,,,,,2025/10/12,リリース,超特急逃走中,youtube_api,0.79,"[""ポップス""]",10014669,d20dEAtbL08,＝LOVE（イコールラブ）/ 18th Single c/w『超特急逃走中』【MV full】,8303359,,
,,,,,,,,,,,,,,,,,,,,,,,,,ROF-MAO,ROF-MAO / ろふまおチャンネル【にじさんじ】,6219,510,かんたん：3むずかしい：7げきむず：0,,,47979.0,,0,,,,,,,2025/10/11,リリース,Bring it on,youtube_api,0.0,"[""ポップス""]",10014242,8xZREULMjVM,ROF-MAO - Bring it on,24469272,,
,,,,,,,,,,,,,,,,,,,,,,,,,HANA,Lana Del Rey - Topic,143,396,かんたん：1むずかしい：5げきむず：0,,,4457.8,,17319,,,,,,,2025/10/04,リリース,Blue Jeans,youtube_api,0.98,"[""ポップス""]",10014537,9p15MdpVAO0,Blue Jeans,1765269,,
,,,,,,,,,,,,,,,,,,,,,,,,,キュアアイドル(CV：松岡美里)&キュアウインク(CV：髙橋ミナミ)&キュアキュンキュン(CV：高森奈津美)&キュアズキューン(CV：南條愛乃)&キュアキッス(CV：花井美春）,プリキュア公式YouTubeチャンネル,0,163,かんたん：1むずかしい：5げきむず：0,,,11966.2,,14741,,,,,,,2025/09/27,リリース,キミとルララ,youtube_api,0.76,"[""アニメ"", ""キッズ""]",10014409,UqfS7TaV7xo,「キミとアイドルプリキュア♪」後期エンディング主題歌「キミとルララ」(ノンテロップver),1950487,,
,,,,,,,,,,,,,,,,,,,,,,,,,Da-iCE,Da-iCE,2468,134,かんたん：2むずかしい：6げきむず：0,,,31939.9,,34916,,,,,,,2025/09/20,リリース,ノンフィクションズ,youtube_api,0.82,"[""ポップス""]",10014411,6Moq0q8R5Vw,Da-iCE /「ノンフィクションズ」Music Video,4279944,,
,,,,,,,,,,,,,,,,,,,,,,,,,BE:FIRST,BE:FIRST Official,16030,229,かんたん：2むずかしい：5げきむず：0,,,78315.9,,118722,,,,,,,2025/09/13,リリース,夢中,youtube_api,0.66,"[""ポップス""]",10014240,TpuNjlGbs6o,BE:FIRST / 夢中 -Recording Video- (フジテレビ木曜劇場『波うららかに、めおと日和』主題歌),17934349,,
,,,,,,,,,,,,,,,,,,,,,,,,,Snow Man,Snow Man,21860,1021,かんたん：3むずかしい：6げきむず：0,,,43590.1,,0,,,,,,,2024/02/19,リリース,Ｗ,youtube_api,0.0,"[""ポップス""]",10011142,_QnW6gWUDUU,Snow Man「W」Music Video YouTube Ver.,44505479,,
,,,,,,,,,,,,,,,,,,,,,,,,,AiScReam,(Love Live! series)ラブライブ！シリーズ公式チャンネル,6335,107,かんたん：1むずかしい：5げきむず：0,,,37563.2,,150464,,,,,,,2025/05/17,リリース,愛♡スクリ～ム!,youtube_api,3.74,"[""ポップス""]",10013712,8Yy7Jzle338,AiScReam『愛♡スクリ～ム！』Music Video,4019262,,
,,,,,,,,,,,,,,,,,,,,,,,,,STPR Creators,すとぷりちゃんねる,12956,260,かんたん：1むずかしい：7げきむず：0,,,13561.0,,62223,,,,,,,2025/08/30,リリース,STAR to STPR,youtube_api,1.76,"[""ポップス""]",10014244,AJeElzV6Bbo,【MV】STAR to STPR ／ STPR Creators,3525851,,
,,,,,,,,,,,,,,,,,,,,,,,,,Wienners,日本コロムビア 公式YouTubeチャンネル,512,272,かんたん：2むずかしい：6げきむず：0,,,9394.9,,11822,,,,,,,2025/08/31,リリース,WINNER！ゴジュウジャー！,youtube_api,0.46,"[""キッズ""]",10014505,VaPUPgH1-zM,Wienners - WINNER！ゴジュウジャー！＜『ナンバーワン戦隊ゴジュウジャー』オープニング・テーマ＞ [Official Audio],2555417,,
,,,,,,,,,,,,,,,,,,,,,,,,,いずれ菖蒲か杜若,いずれ菖蒲か杜若,1989,357,かんたん：3むずかしい：7げきむず：0,,,25137.2,,115459,,,,,,,2025/08/23,リリース,どきどきキュン！で大暴走♡,youtube_api,1.29,"[""ポップス""]",10014075,9P3kxfons2E,【MV】どきどきキュン!で大暴走♡ / いずれ菖蒲か杜若,8973991,,
,,,,,,,,,,,,,,,,,,,,,,,,,てれび戦士,Motoki Ohmori - Topic,1301,203,かんたん：2むずかしい：5げきむず：0,,,31902.5,,64347,,,,,,,2025/08/24,リリース,こたえあわせ,youtube_api,0.99,"[""キッズ""]",10014405,yx1-9AHAFfQ,Kotaeawase,6476211,,
,,,,,,,,,,,,,,,,,,,,,,,,,Mrs. GREEN APPLE,MrsGREENAPPLEVEVO,20517,3815,かんたん：2むずかしい：6げきむず：0,,,23550.0,,554373,,,,,,,2025/09/06,リリース,StaRt,youtube_api,0.62,"[""ポップス""]",10014372,OTUtF7ZxRN8,Mrs. GREEN APPLE - StaRt,89843310,,
,,,,,,,,,,,,,,,,,,,,,,,,,Mrs. GREEN APPLE,Mrs. GREEN APPLE - Topic,2666,151,かんたん：2むずかしい：6げきむず：0,,,85855.3,,96238,,,,,,,2025/08/10,リリース,Carrying Happiness,youtube_api,0.74,"[""ポップス""]",10014410,YFk3oSwbXOY,Carrying Happiness,12964147,,
,,,,,,,,,,,,,,,,,,,,,,,,,ピノキオピー,ピノキオピー PINOCCHIOP OFFICIAL CHANNEL,9260,172,かんたん：3むずかしい：6げきむず：9,,,98957.9,,250292,,,,,,,2025/08/17,リリース,T氏の話を信じるな,youtube_api,1.47,"[""ボカロ""]",10014374,Jtm6ikBIl0g,ピノキオピー - T氏の話を信じるな feat. 初音ミク・重音テト / Don’t Believe in T,17020754,,
,,,,,,,,,,,,,,,,,,,,,,,,,なにわ男子,なにわ男子,16992,198,かんたん：3むずかしい：6げきむず：0,,,31728.3,,80014,,,,,,,2025/08/16,リリース,ギラギラサマー,youtube_api,1.27,"[""ポップス""]",10014373,LJOfZ-7FumQ,なにわ男子 - ギラギラサマー [Official Music Video],6282206,,
,,,,,,,,,,,,,,,,,,,,,,,,,雨良 Amala,雨良 Amala,10327,276,かんたん：1むずかしい：6げきむず：8,,,151729.0,,503627,,,,,,,2025/07/05,リリース,ダイダイダイダイダイキライ,youtube_api,1.2,"[""ボカロ""]",10013714,klIxS5o65C4,ダイダイダイダイダイキライ - 初音ミク VS 重音テト  (Daidaidaidaidaikirai - HatsuneMiku VS KasaneTeto),41877193,,
,,,,,,,,,,,,,,,,,,,,,,,,,ano,ano official channel,3483,150,かんたん：2むずかしい：5げきむず：0,,,62536.5,,139209,,,,,,,2025/08/09,リリース,ハッピーラッキーチャッピー,youtube_api,1.48,"[""アニメ""]",10014273,s7FgdaGOw9s,ano「ハッピーラッキーチャッピー 」× アニメ『タコピーの原罪』Collaboration Music Video,9380480,,
,,,,,,,,,,,,,,,,,,,,,,,,,Snow Man,Snow Man,86083,1385,かんたん：3むずかしい：6げきむず：8,,,84822.9,,0,,,,,,,2023/12/29,リリース,ブラザービート,youtube_api,0.0,"[""ポップス""]",20010016,LZW4zUmE0qY,Snow Man「ブラザービート」Music Video,117479651,,
,,,,,,,,,,,,,,,,,,,,,,,,,原宿ヒーローズ,竹下☆ぱらだいす,3531,256,かんたん：2むずかしい：6げきむず：0,,,54364.0,,41558,,,,,,,2025/08/02,リリース,コドモオトナヒーロー,youtube_api,0.3,"[""ポップス""]",10013812,rTOraeetj9w,【MV】コドモオトナヒーロー/しなこ・竹ぱら・リアピ(原宿ヒーローズ),13917191,,
,,,,,,,,,,,,,,,,,,,,,,,,,ナナヲアカリ,ナナヲアカリ OFFICIAL,4933,326,かんたん：1むずかしい：5げきむず：0,,,57331.7,,236977,,,,,,,2025/07/26,リリース,明日の私に幸あれ,youtube_api,1.27,"[""アニメ""]",10014142,Z2icQoPrX9M,明日の私に幸あれ / ナナヲアカリ,18690118,,
,,,,,,,,,,,,,,,,,,,,,,,,,超ときめき♡宣伝部,超ときめき♡宣伝部サブチャンネル,5549,179,かんたん：1むずかしい：6げきむず：0,,,71180.8,,96044,,,,,,,2025/07/19,リリース,超最強,youtube_api,0.75,"[""ポップス""]",10014141,Yeahpo-0Ub4,超ときめき♡宣伝部 /「超最強」Music Video,12741360,,
,,,,,,,,,,,,,,,,,,,,,,,,,吉本おじさん,吉本おじさん,13409,199,かんたん：3むずかしい：7げきむず：0,,,169847.3,,431297,,,,,,,2025/07/12,リリース,お返事まだカナ？おじさん構文！,youtube_api,1.28,"[""ポップス""]",10014174,8E8aWeY-pAc,お返事まだカナ💦❓おじさん構文😁❗️ / 雨衣,33799622,,
,,,,,,,,,,,,,,,,,,,,,,,,,Mrs. GREEN APPLE,Breakfast Club Power 105.1 FM,14,1,かんたん：1むずかしい：5げきむず：0,,,15346.0,,1037,,,,,,,2025/06/28,リリース,breakfast,youtube_api,6.76,"[""ポップス""]",10014010,qoVt5Hn4TVg,The Breakfast Club Daily Live Stream!,15346,,
,,,,,,,,,,,,,,,,,,,,,,,,,DECO*27,DECO*27,10899,298,かんたん：2むずかしい：6げきむず：8,,,133697.2,,510385,,,,,,,2025/06/21,リリース,テレパシ feat. 初音ミク,youtube_api,1.28,"[""ボカロ""]",10013844,c56TpxfO9q0,DECO*27 - テレパシ feat. 初音ミク,39841764,,
,,,,,,,,,,,,,,,,,,,,,,,,,菅田将暉,菅田将暉 Official Channel,25720,1847,かんたん：1むずかしい：5げきむず：0,,,99587.3,,722279,,,,,,,2025/06/07,リリース,虹,youtube_api,0.39,"[""ポップス""]",10013554,hkBbUf4oGfA,菅田将暉 『虹』,183937795,,
,,,,,,,,,,,,,,,,,,,,,,,,,『ユイカ』,『ユイカ』,1451,314,かんたん：1むずかしい：5げきむず：0,,,9377.7,,37884,,,,,,,2025/05/31,リリース,おくすり,youtube_api,1.29,"[""ポップス""]",10013681,-qSqMSsJ4AE,おくすり / 『ユイカ』【MV】,2944611,,
,,,,,,,,,,,,,,,,,,,,,,,,,キュアアイドル(CV：松岡美里)＆キュアウインク(CV：髙橋ミナミ)＆キュアキュンキュン(CV：高森奈津美),Release - Topic,0,235,かんたん：2むずかしい：6げきむず：0,,,4991.3,,7350,,,,,,,2025/05/24,リリース,Trio Dreams,youtube_api,0.63,"[""アニメ"", ""キッズ""]",10013582,vcmMasgssFg,Trio Dreams,1172952,,
,,,,,,,,,,,,,,,,,,,,,,,,,Mrs. GREEN APPLE,Mrs. GREEN APPLE,28514,255,かんたん：1むずかしい：6げきむず：0,,,271408.3,,434106,,,,,,,2025/05/03,リリース,クスシキ,youtube_api,0.63,"[""ポップス""]",10013680,RCaTLn4qoz4,Mrs. GREEN APPLE「クスシキ」Official Music Video,69209107,,
,,,,,,,,,,,,,,,,,,,,,,,,,MISAMO,TWICE JAPAN OFFICIAL YouTube Channel,10014,1057,かんたん：2むずかしい：0げきむず：0,,,6289.7,,237687,,,,,,,2025/02/21,開発中,BOUQUET,youtube_api,3.58,"[""ポップス""]",10013484,c64_lZErcOQ,MOMO SANA MINA from TWICE「Bouquet」 Making Music Video（short ver.）,6648237,,
,,,,,,,,,,,,,,,,,,,,,,,,,なにわ男子,なにわ男子,17909,317,かんたん：2むずかしい：6げきむず：0,,,17320.3,,69605,,,,,,,2025/05/10,リリース,Doki it,youtube_api,1.27,"[""ポップス""]",10013679,Oh7Sin6hTpc,なにわ男子 – Doki it [Official Music Video],5490549,,
,,,,,,,,,,,,,,,,,,,,,,,,,Mrs. GREEN APPLE,Mrs. GREEN APPLE,12505,382,かんたん：2むずかしい：6げきむず：0,,,129863.6,,286376,,,,,,,2025/02/11,リリース,ビターバカンス,youtube_api,0.58,"[""ポップス""]",10013316,-6YeAmmRdoA,Mrs. GREEN APPLE「ビターバカンス」Official Music Video,49607884,,
,,,,,,,,,,,,,,,,,,,,,,,,,CANDY TUNE,KAWAII LAB.,10948,283,かんたん：2むずかしい：6げきむず：0,,,109447.5,,194937,,,,,,,2025/04/26,リリース,倍倍FIGHT！,youtube_api,0.63,"[""ポップス""]",10013547,9HKbo1FstOE,【MV】CANDY TUNE「倍倍FIGHT!」,30973652,,
,,,,,,,,,,,,,,,,,,,,,,,,,石井あみ・熊田茜音・吉武千颯,Ami Ishii - Topic,0,235,かんたん：2むずかしい：5げきむず：0,,,4053.9,,5386,,,,,,,2025/04/19,リリース,キミとアイドルプリキュア♪ Light Up!,youtube_api,0.57,"[""アニメ"", ""キッズ""]",10013581,a2OEqn586AU,キミとアイドルプリキュア♪ Light Up！,952667,,
,,,,,,,,,,,,,,,,,,,,,,,,,『ユイカ』,『ユイカ』,647,433,かんたん：1むずかしい：6げきむず：0,,,3904.2,,28816,,,,,,,2025/04/12,リリース,僕らしさ,youtube_api,1.7,"[""アニメ""]",10013516,cXaU8gAbCRY,僕らしさ / 『ユイカ』【MV】,1690497,,
,,,,,,,,,,,,,,,,,,,,,,,,,CANDY TUNE,CANDY TUNE - Topic,3,243,かんたん：2むずかしい：6げきむず：0,,,515.4,,709,,,,,,,2024/08/25,リリース,キス・ミー・パティシエ,youtube_api,0.57,"[""ポップス""]",10011798,HFC-Zrfsab4,キス・ミー・パティシエ,125250,,
,,,,,,,,,,,,,,,,,,,,,,,,,ちゃんみな,THE FIRST TAKE,23414,214,かんたん：2むずかしい：5げきむず：0,,,129160.4,,552191,,,,,,,2025/04/05,リリース,Sad Song,youtube_api,2.0,"[""ポップス""]",10013450,CFBStXempJY,ちゃんみな - SAD SONG feat. No No Girls FINALISTS / THE FIRST TAKE,27640319,,
,,,,,,,,,,,,,,,,,,,,,,,,,M!LK,M!LK,21309,287,かんたん：1むずかしい：5げきむず：0,,,84048.6,,158282,,,,,,,2025/04/04,リリース,イイじゃん,youtube_api,0.66,"[""ポップス""]",10013548,GW-XMhRQDFI,M!LK - イイじゃん(Official Music Video),24121939,,
,,,,,,,,,,,,,,,,,,,,,,,,,FRUITS ZIPPER,加賀美 ハヤト/Hayato Kagami,0,1,かんたん：1むずかしい：6げきむず：0,,,9899.0,,1068,,,,,,,2025/04/03,リリース,かがみ,youtube_api,10.79,"[""ポップス""]",10013549,wLxaQEtPYq4,【龍が如く８外伝 Pirates in Hawaii】旅の合間のサブクエ回＃６.５【にじさんじ/加賀美ハヤト】,9899,,
,,,,,,,,,,,,,,,,,,,,,,,,,Yunomi,Yunomi - Topic,1090,2626,かんたん：3むずかしい：6げきむず：0,,,5317.7,,155343,,,,,,,2025/04/01,リリース,インドア系ならトラックメイカー,youtube_api,1.11,"[""ポップス""]",20010221,114yuwqcQhM,インドア系ならトラックメイカー,13964398,,
,,,,,,,,,,,,,,,,,,,,,,,,,ななひら,Pokémon Asia ENG,0,658,かんたん：2むずかしい：6げきむず：0,,,82849.3,,471767,,,,,,,2024/05/18,開発中,POKÉDANCE,youtube_api,0.87,"[""アニメ"", ""キッズ""]",20010036,vikINVCvqCE,"Pokémon partners of different generations dancing ""POKÉDANCE"" Animation Music Video",54514848,,
,,,,,,,,,,,,,,,,,,,,,,,,,ナユタン星人,ナユタン星人Official / NayutalieN,2523,2137,かんたん：2むずかしい：6げきむず：0,,,5459.3,,130579,,,,,,,2025/03/31,リリース,ダンスロボットダンス,youtube_api,1.12,"[""ボカロ""]",10013481,g7dvpD_zlIM,ナユタン星人 - ダンスロボットダンス (ft.初音ミク) OFFICIAL MUSIC VIDEO,11666568,,
,,,,,,,,,,,,,,,,,,,,,,,,,米津玄師,Kenshi Yonezu  米津玄師,62751,4278,かんたん：2むずかしい：6げきむず：0,,,85827.1,,1349301,,,,,,,2025/04/02,リリース,アイネクライネ,youtube_api,0.37,"[""ポップス""]",10010524,-EKxzId_Sj4,"米津玄師  - アイネクライネ , Kenshi Yonezu - Eine Kleine",367168195,,
,,,,,,,,,,,,,,,,,,,,,,,,,Number_i,Polyphia,18365,2762,かんたん：2むずかしい：6げきむず：8,,,18093.4,,674533,,,,,,,2025/03/28,リリース,GOAT,youtube_api,1.35,"[""ポップス""]",20010026,9_gkpYORQLU,Polyphia | G.O.A.T. (Official Music Video),49974011,,
,,,,,,,,,,,,,,,,,,,,,,,,,日向電工,Ado,4698,748,かんたん：2むずかしい：6げきむず：9,,,31328.2,,272438,,,,,,,2025/04/06,リリース,ブリキノダンス,youtube_api,1.16,"[""ボカロ""]",10010936,iL7uoLCbJoc,【Ado】ブリキノダンス 歌いました,23433479,,
,,,,,,,,,,,,,,,,,,,,,,,,,ちゃんみな,ちゃんみな [CHANMINA],5314,476,かんたん：2むずかしい：6げきむず：0,,,49569.2,,352451,,,,,,,2025/03/30,リリース,NG,youtube_api,1.49,"[""ポップス""]",10013483,SCNlEuz9-eg,ちゃんみな - NG (Official Music Video)  -,23594943,,
,,,,,,,,,,,,,,,,,,,,,,,,,椎名 林檎,SheenaRingoVEVO,13493,3786,かんたん：1むずかしい：5げきむず：0,,,24829.6,,533663,,,,,,,2025/03/26,リリース,長く短い祭,youtube_api,0.57,"[""ポップス""]",20010189,3LVAmMxICoA,椎名林檎 - 長く短い祭,94004928,,
,,,,,,,,,,,,,,,,,,,,,,,,,いろはにほへっと あやふぶみ,hololive ホロライブ - VTuber Group,1724,340,かんたん：3むずかしい：6げきむず：0,,,6582.8,,51979,,,,,,,2025/03/29,リリース,雨トキメキ恋模様,youtube_api,2.32,"[""アニメ""]",10013352,td0eO78wxSI,【MV】雨トキメキ恋模様 / いろはにほへっと あやふぶみ,2238156,,
,,,,,,,,,,,,,,,,,,,,,,,,,SEKAI NO OWARI,Bz,2858,394,かんたん：1むずかしい：5げきむず：0,,,9935.5,,43623,,,,,,,2025/03/27,リリース,イルミネーション,youtube_api,1.11,"[""ポップス""]",10013283,tFc6y7Dk66E,B'z / イルミネーション,3914574,,
,,,,,,,,,,,,,,,,,,,,,,,,,いきものがかり,いきものがかり,7162,1943,かんたん：2むずかしい：5げきむず：0,,,13679.4,,214400,,,,,,,2025/03/25,リリース,気まぐれロマンティック,youtube_api,0.81,"[""ポップス""]",10013518,5XCSt_0lwOE,いきものがかり 『気まぐれロマンティック』Music Video,26579044,,
,,,,,,,,,,,,,,,,,,,,,,,,,Omoinotake,Omoinotake,271,381,かんたん：2むずかしい：6げきむず：0,,,4706.0,,9341,,,,,,,2025/03/24,リリース,ラストノート,youtube_api,0.52,"[""ポップス""]",10013482,s5nnCiI78FI,Omoinotake | ラストノート 【Official Music Video】,1793004,,
,,,,,,,,,,,,,,,,,,,,,,,,,米津玄師,Kenshi Yonezu  米津玄師,67165,3379,かんたん：3むずかしい：6げきむず：8,,,105716.8,,1413868,,,,,,,2024/08/31,リリース,LOSER,youtube_api,0.4,"[""ポップス""]",10010488,Dx_fKPBPYUI,"米津玄師 - LOSER , Kenshi Yonezu",357217109,,
